native,name,p_value,intersection_size,query_size,term_size,intersections,evidences
GO:0000165,MAPK cascade,0.029752646014903916,15,134,749,"['CFLAR', 'RB1CC1', 'ROCK1', 'FLT1', 'SHOC2', 'FN1', 'EPHB2', 'SIRT3', 'MBIP', 'PRKCA', 'KIT', 'GPR37', 'P2RY6', 'MTURN', 'HLA-DRB1']","[['IEA'], ['IEA'], ['IMP'], ['IDA', 'IBA'], ['IDA'], ['IDA'], ['ISS', 'IEA'], ['IEA'], ['IDA'], ['ISS'], ['IMP'], ['IDA', 'IBA', 'IEA'], ['IDA'], ['IMP'], ['IDA']]"
GO:1901740,negative regulation of myoblast fusion,0.029752646014903916,2,134,3,"['CFLAR', 'CXCL10']","[['ISS'], ['IEA']]"
GO:0070848,response to growth factor,0.03188335241173174,14,134,734,"['CFLAR', 'ROCK1', 'NEDD4', 'FLT1', 'BLOC1S6', 'ENG', 'SHOC2', 'STK11', 'ACVR1C', 'EPHB2', 'TGFBRAP1', 'KIT', 'RBPMS2', 'LRIT3']","[['IEA'], ['ISS', 'IEA'], ['ISS'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'TAS'], ['NAS', 'IEA'], ['IMP', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['TAS'], ['IEA'], ['ISS'], ['IDA']]"
GO:0034242,negative regulation of syncytium formation by plasma membrane fusion,0.03188335241173174,2,134,4,"['CFLAR', 'CXCL10']","[['ISS'], ['IEA']]"
GO:0009725,response to hormone,0.03188335241173174,16,134,904,"['CFLAR', 'TFPI', 'ABCC8', 'ROCK1', 'NEDD4', 'FLT1', 'SHOC2', 'TNS2', 'ACVR1C', 'IRS4', 'EPHB2', 'PRKCA', 'KIT', 'P2RY6', 'FOXC2', 'SRARP']","[['IEA'], ['IEP'], ['IEA'], ['IMP', 'ISS', 'IEA'], ['IDA'], ['IEA'], ['IEA'], ['IDA', 'IBA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IDA'], ['IEA'], ['IEA'], ['IDA'], ['IMP', 'IBA']]"
GO:0008283,cell population proliferation,0.03188335241173174,26,134,1961,"['CFLAR', 'ABCC8', 'RB1CC1', 'NOTCH3', 'PDS5B', 'FLT1', 'ENG', 'SHOC2', 'TNS2', 'CCDC88A', 'FN1', 'STK11', 'ACVR1C', 'HOXD13', 'EPHB2', 'GINS4', 'PRKCA', 'KIT', 'TENT5B', 'RBPMS2', 'RNF187', 'IL13', 'CXCL10', 'P2RY6', 'FOXC2', 'HLA-DRB1']","[['ISS', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'TAS'], ['IGI', 'IBA', 'TAS', 'IEA'], ['IMP', 'TAS'], ['IEA'], ['IMP'], ['ISS'], ['IDA'], ['IMP', 'IEA'], ['IDA', 'IMP'], ['IEA'], ['IMP'], ['IEA'], ['IMP'], ['IBA', 'TAS', 'IEA'], ['IMP'], ['ISS'], ['ISS'], ['IEA'], ['IDA', 'TAS', 'IEA'], ['IMP'], ['IEA'], ['IMP']]"
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.03188335241173174,7,134,192,"['NEDD4', 'FLT1', 'ENG', 'CCDC88A', 'FN1', 'PRKCA', 'KIT']","[['IMP'], ['IMP'], ['IGI'], ['ISS'], ['IDA'], ['ISS'], ['TAS']]"
GO:0032024,positive regulation of insulin secretion,0.03188335241173174,5,134,88,"['ABCC8', 'ANO1', 'SIRT3', 'PRKCA', 'HLA-DRB1']","[['IEA'], ['IMP', 'IGI'], ['IEA'], ['TAS'], ['IMP']]"
GO:0110061,regulation of angiotensin-activated signaling pathway,0.03188335241173174,2,134,4,"['ROCK1', 'PRKCA']","[['IMP'], ['IDA']]"
GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.039367354993311704,8,134,268,"['NEDD4', 'FLT1', 'ENG', 'CCDC88A', 'FN1', 'STK11', 'PRKCA', 'KIT']","[['IMP'], ['IMP'], ['IGI'], ['ISS'], ['IDA'], ['IEA'], ['ISS'], ['TAS']]"
