"GO.ID","Term","Annotated","Significant","Expected","pvalue"
"GO:0002724","regulation of T cell cytokine production",39,3,4.39,0.38016
"GO:0042445","hormone metabolic process",209,22,23.53,0.38018
"GO:0046661","male sex differentiation",85,8,9.57,0.38019
"GO:0046324","regulation of D-glucose import across plasma membrane",42,3,4.73,0.38021
"GO:0016101","diterpenoid metabolic process",89,8,10.02,0.38026
"GO:0070918","regulatory ncRNA processing",69,5,7.77,0.38039
"GO:0003231","cardiac ventricle development",87,7,9.79,0.38039
"GO:0043534","blood vessel endothelial cell migration",123,10,13.85,0.38057
"GO:1904018","positive regulation of vasculature development",170,15,19.14,0.38062
"GO:0050881","musculoskeletal movement",55,2,6.19,0.38063
"GO:0002262","myeloid cell homeostasis",125,9,14.07,0.38078
"GO:0050866","negative regulation of cell activation",191,15,21.5,0.38102
"GO:0001570","vasculogenesis",56,9,6.3,0.38106
"GO:0045494","photoreceptor cell maintenance",36,5,4.05,0.38184
"GO:0043254","regulation of protein-containing complex assembly",399,61,44.92,0.38246
"GO:0007030","Golgi organization",141,21,15.87,0.38543
"GO:0006310","DNA recombination",330,26,37.15,0.38733
"GO:0007041","lysosomal transport",129,18,14.52,0.38759
"GO:0061028","establishment of endothelial barrier",45,7,5.07,0.38821
"GO:0001774","microglial cell activation",45,6,5.07,0.38861
"GO:0043032","positive regulation of macrophage activation",28,4,3.15,0.38864
"GO:0042026","protein refolding",28,4,3.15,0.38864
"GO:0046337","phosphatidylethanolamine metabolic process",28,4,3.15,0.38864
"GO:0007616","long-term memory",28,4,3.15,0.38864
"GO:0009409","response to cold",28,4,3.15,0.38864
"GO:0042178","xenobiotic catabolic process",28,4,3.15,0.38864
"GO:0008016","regulation of heart contraction",196,30,22.06,0.39246
"GO:0098739","import across plasma membrane",263,36,29.61,0.39298
"GO:0080090","regulation of primary metabolic process",4878,493,549.14,0.39305
"GO:0035924","cellular response to vascular endothelial growth factor stimulus",72,10,8.11,0.39453
"GO:0017121","plasma membrane phospholipid scrambling",30,5,3.38,0.39463
"GO:0006270","DNA replication initiation",39,6,4.39,0.39463
"GO:1901264","carbohydrate derivative transport",92,14,10.36,0.39473
"GO:0000423","mitophagy",94,14,10.58,0.39484
"GO:0032891","negative regulation of organic acid transport",20,3,2.25,0.39492
"GO:0007141","male meiosis I",20,3,2.25,0.39492
"GO:0003382","epithelial cell morphogenesis",20,3,2.25,0.39492
"GO:1903830","magnesium ion transmembrane transport",20,3,2.25,0.39492
"GO:1902430","negative regulation of amyloid-beta formation",20,3,2.25,0.39492
"GO:1901380","negative regulation of potassium ion transmembrane transport",20,3,2.25,0.39492
"GO:0061003","positive regulation of dendritic spine morphogenesis",20,3,2.25,0.39492
"GO:1901569","fatty acid derivative catabolic process",20,3,2.25,0.39492
"GO:0032091","negative regulation of protein binding",20,3,2.25,0.39492
"GO:0010759","positive regulation of macrophage chemotaxis",20,3,2.25,0.39492
"GO:0050855","regulation of B cell receptor signaling pathway",20,3,2.25,0.39492
"GO:0000028","ribosomal small subunit assembly",20,3,2.25,0.39492
"GO:0003014","renal system process",119,14,13.4,0.39497
"GO:0045428","regulation of nitric oxide biosynthetic process",53,5,5.97,0.3955
"GO:0006259","DNA metabolic process",983,95,110.66,0.39558
"GO:0033627","cell adhesion mediated by integrin",80,7,9.01,0.39586
"GO:0071364","cellular response to epidermal growth factor stimulus",45,6,5.07,0.39609
"GO:0006261","DNA-templated DNA replication",166,16,18.69,0.3961
"GO:0038202","TORC1 signaling",110,21,12.38,0.39619
"GO:0002218","activation of innate immune response",315,31,35.46,0.39672
"GO:0048638","regulation of developmental growth",209,29,23.53,0.39703
"GO:0060259","regulation of feeding behavior",36,7,4.05,0.39772
"GO:0060292","long-term synaptic depression",27,5,3.04,0.39799
"GO:1900027","regulation of ruffle assembly",27,5,3.04,0.39799
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand",42,6,4.73,0.39817
"GO:0060008","Sertoli cell differentiation",12,2,1.35,0.39834
"GO:0070934","CRD-mediated mRNA stabilization",12,2,1.35,0.39834
"GO:0051341","regulation of oxidoreductase activity",12,2,1.35,0.39834
"GO:0043306","positive regulation of mast cell degranulation",12,2,1.35,0.39834
"GO:0044849","estrous cycle",12,2,1.35,0.39834
"GO:0071492","cellular response to UV-A",12,2,1.35,0.39834
"GO:0032688","negative regulation of interferon-beta production",12,2,1.35,0.39834
"GO:2001198","regulation of dendritic cell differentiation",12,2,1.35,0.39834
"GO:0042045","epithelial fluid transport",12,2,1.35,0.39834
"GO:1905383","protein localization to presynapse",12,2,1.35,0.39834
"GO:0034085","establishment of sister chromatid cohesion",12,2,1.35,0.39834
"GO:0071233","cellular response to L-leucine",12,2,1.35,0.39834
"GO:0006448","regulation of translational elongation",12,2,1.35,0.39834
"GO:0007567","parturition",12,2,1.35,0.39834
"GO:0006167","AMP biosynthetic process",12,2,1.35,0.39834
"GO:1903911","positive regulation of receptor clustering",12,2,1.35,0.39834
"GO:1990253","cellular response to leucine starvation",12,2,1.35,0.39834
"GO:0051645","Golgi localization",12,2,1.35,0.39834
"GO:0006863","purine nucleobase transport",12,2,1.35,0.39834
"GO:0034105","positive regulation of tissue remodeling",12,2,1.35,0.39834
"GO:0098880","maintenance of postsynaptic specialization structure",12,2,1.35,0.39834
"GO:0070365","hepatocyte differentiation",12,2,1.35,0.39834
"GO:0051956","negative regulation of amino acid transport",12,2,1.35,0.39834
"GO:0070344","regulation of fat cell proliferation",12,2,1.35,0.39834
"GO:1990535","neuron projection maintenance",12,2,1.35,0.39834
"GO:0014842","regulation of skeletal muscle satellite cell proliferation",12,2,1.35,0.39834
"GO:1900038","negative regulation of cellular response to hypoxia",12,2,1.35,0.39834
"GO:0030200","heparan sulfate proteoglycan catabolic process",12,2,1.35,0.39834
"GO:0016322","neuron remodeling",12,2,1.35,0.39834
"GO:0010820","positive regulation of T cell chemotaxis",12,2,1.35,0.39834
"GO:2000774","positive regulation of cellular senescence",12,2,1.35,0.39834
"GO:0019336","phenol-containing compound catabolic process",12,2,1.35,0.39834
"GO:0036152","phosphatidylethanolamine acyl-chain remodeling",12,2,1.35,0.39834
"GO:0008356","asymmetric cell division",12,2,1.35,0.39834
"GO:0141212","phospholipase C/protein kinase C signal transduction",12,2,1.35,0.39834
"GO:0042921","nuclear receptor-mediated glucocorticoid signaling pathway",12,2,1.35,0.39834
"GO:1904779","regulation of protein localization to centrosome",12,2,1.35,0.39834
"GO:1904872","regulation of telomerase RNA localization to Cajal body",12,2,1.35,0.39834
"GO:1905330","regulation of morphogenesis of an epithelium",48,6,5.4,0.39836
"GO:0090183","regulation of kidney development",31,4,3.49,0.39838
"GO:0097623","potassium ion export across plasma membrane",23,3,2.59,0.39841
"GO:0051132","NK T cell activation",24,3,2.7,0.39844
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",37,4,4.17,0.39856
"GO:0046825","regulation of protein export from nucleus",30,3,3.38,0.39862
"GO:0010469","regulation of signaling receptor activity",42,4,4.73,0.39871
"GO:0006913","nucleocytoplasmic transport",292,32,32.87,0.39876
"GO:0030162","regulation of proteolysis",140,11,15.76,0.3998
"GO:0009306","protein secretion",311,47,35.01,0.40079
"GO:0002696","positive regulation of leukocyte activation",315,27,35.46,0.40083
"GO:0055085","transmembrane transport",1492,203,167.96,0.40553
"GO:0030168","platelet activation",124,13,13.96,0.40601
"GO:0032355","response to estradiol",105,12,11.82,0.4067
"GO:1902532","negative regulation of intracellular signal transduction",703,87,79.14,0.41221
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction",277,39,31.18,0.4123
"GO:0021510","spinal cord development",54,9,6.08,0.41434
"GO:0018193","peptidyl-amino acid modification",384,45,43.23,0.4148
"GO:0051281","positive regulation of release of sequestered calcium ion into cytosol",29,4,3.26,0.41524
"GO:0034315","regulation of Arp2/3 complex-mediated actin nucleation",29,4,3.26,0.41524
"GO:0030857","negative regulation of epithelial cell differentiation",29,4,3.26,0.41524
"GO:0030513","positive regulation of BMP signaling pathway",29,4,3.26,0.41524
"GO:0051781","positive regulation of cell division",88,14,9.91,0.41538
"GO:0001933","negative regulation of protein phosphorylation",105,12,11.82,0.41546
"GO:0006644","phospholipid metabolic process",381,58,42.89,0.42132
"GO:0006811","monoatomic ion transport",1176,177,132.39,0.42176
"GO:0046907","intracellular transport",1319,203,148.49,0.42267
"GO:0060326","cell chemotaxis",278,36,31.3,0.42396
"GO:0007420","brain development",516,80,58.09,0.42489
"GO:1902475","L-alpha-amino acid transmembrane transport",66,11,7.43,0.42549
"GO:0045776","negative regulation of blood pressure",38,7,4.28,0.42579
"GO:1901524","regulation of mitophagy",46,7,5.18,0.42611
"GO:0038084","vascular endothelial growth factor signaling pathway",50,7,5.63,0.42627
"GO:0010762","regulation of fibroblast migration",35,5,3.94,0.42638
"GO:0022898","regulation of transmembrane transporter activity",73,9,8.22,0.42647
"GO:0048806","genitalia development",21,3,2.36,0.42653
"GO:0033962","P-body assembly",21,3,2.36,0.42653
"GO:0071480","cellular response to gamma radiation",21,3,2.36,0.42653
"GO:0071474","cellular hyperosmotic response",21,3,2.36,0.42653
"GO:0000729","DNA double-strand break processing",21,3,2.36,0.42653
"GO:0045056","transcytosis",21,3,2.36,0.42653
"GO:0002223","stimulatory C-type lectin receptor signaling pathway",21,3,2.36,0.42653
"GO:0006525","arginine metabolic process",21,3,2.36,0.42653
"GO:0170044","non-proteinogenic amino acid catabolic process",21,3,2.36,0.42653
"GO:2000773","negative regulation of cellular senescence",21,3,2.36,0.42653
"GO:0014912","negative regulation of smooth muscle cell migration",21,3,2.36,0.42653
"GO:0090630","activation of GTPase activity",21,3,2.36,0.42653
"GO:0021536","diencephalon development",40,5,4.5,0.42657
"GO:0061462","protein localization to lysosome",49,6,5.52,0.42658
"GO:0032984","protein-containing complex disassembly",247,28,27.81,0.42668
"GO:2000573","positive regulation of DNA biosynthetic process",44,5,4.95,0.42673
"GO:0098708","D-glucose import across plasma membrane",63,6,7.09,0.42713
"GO:0099171","presynaptic modulation of chemical synaptic transmission",38,5,4.28,0.4284
"GO:0055082","intracellular chemical homeostasis",578,93,65.07,0.42974
"GO:0009966","regulation of signal transduction",2894,371,325.79,0.43025
"GO:0051050","positive regulation of transport",787,117,88.6,0.43099
"GO:0048513","animal organ development",2179,263,245.3,0.43369
"GO:0048731","system development",3310,440,372.62,0.4341
"GO:0120031","plasma membrane bounded cell projection assembly",557,78,62.7,0.43494
"GO:0060560","developmental growth involved in morphogenesis",167,34,18.8,0.43507
"GO:0170033","L-amino acid metabolic process",159,29,17.9,0.43624
"GO:0006090","pyruvate metabolic process",110,22,12.38,0.43667
"GO:1901292","nucleoside phosphate catabolic process",174,29,19.59,0.43672
"GO:0060429","epithelium development",807,99,90.85,0.43699
"GO:0010001","glial cell differentiation",160,24,18.01,0.43769
"GO:0062197","cellular response to chemical stress",288,38,32.42,0.4378
"GO:1902115","regulation of organelle assembly",224,30,25.22,0.43803
"GO:0046839","phospholipid dephosphorylation",39,9,4.39,0.43809
"GO:0030516","regulation of axon extension",67,12,7.54,0.43813
"GO:0005996","monosaccharide metabolic process",214,27,24.09,0.43856
"GO:0032098","regulation of appetite",28,5,3.15,0.43887
"GO:0045540","regulation of cholesterol biosynthetic process",28,5,3.15,0.43887
"GO:0007035","vacuolar acidification",37,6,4.17,0.43887
"GO:0000578","embryonic axis specification",29,5,3.26,0.4389
"GO:0097107","postsynaptic density assembly",29,5,3.26,0.4389
"GO:0045936","negative regulation of phosphate metabolic process",154,19,17.34,0.43892
"GO:1901526","positive regulation of mitophagy",23,4,2.59,0.43899
"GO:0043393","regulation of protein binding",33,5,3.71,0.43903
"GO:0045912","negative regulation of carbohydrate metabolic process",43,6,4.84,0.43906
"GO:0048008","platelet-derived growth factor receptor signaling pathway",44,6,4.95,0.4391
"GO:1902808","positive regulation of cell cycle G1/S phase transition",53,7,5.97,0.4391
"GO:0045687","positive regulation of glial cell differentiation",28,4,3.15,0.43915
"GO:0010992","ubiquitin recycling",13,2,1.46,0.43924
"GO:0061635","regulation of protein complex stability",13,2,1.46,0.43924
"GO:0007398","ectoderm development",13,2,1.46,0.43924
"GO:1900747","negative regulation of vascular endothelial growth factor signaling pathway",13,2,1.46,0.43924
"GO:1900748","positive regulation of vascular endothelial growth factor signaling pathway",13,2,1.46,0.43924
"GO:0030949","positive regulation of vascular endothelial growth factor receptor signaling pathway",13,2,1.46,0.43924
"GO:0072224","metanephric glomerulus development",13,2,1.46,0.43924
"GO:1903798","regulation of miRNA processing",13,2,1.46,0.43924
"GO:1901020","negative regulation of calcium ion transmembrane transporter activity",13,2,1.46,0.43924
"GO:0060122","inner ear receptor cell stereocilium organization",13,2,1.46,0.43924
"GO:0002063","chondrocyte development",13,2,1.46,0.43924
"GO:1903671","negative regulation of sprouting angiogenesis",13,2,1.46,0.43924
"GO:0014029","neural crest formation",13,2,1.46,0.43924
"GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening",13,2,1.46,0.43924
"GO:2001214","positive regulation of vasculogenesis",13,2,1.46,0.43924
"GO:0042373","vitamin K metabolic process",13,2,1.46,0.43924
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c",13,2,1.46,0.43924
"GO:0006104","succinyl-CoA metabolic process",13,2,1.46,0.43924
"GO:0031665","negative regulation of lipopolysaccharide-mediated signaling pathway",13,2,1.46,0.43924
"GO:0090091","positive regulation of extracellular matrix disassembly",13,2,1.46,0.43924
"GO:0046716","muscle cell cellular homeostasis",13,2,1.46,0.43924
"GO:0009143","nucleoside triphosphate catabolic process",13,2,1.46,0.43924
"GO:0051639","actin filament network formation",13,2,1.46,0.43924
"GO:0042761","very long-chain fatty acid biosynthetic process",13,2,1.46,0.43924
"GO:0090399","replicative senescence",13,2,1.46,0.43924
"GO:2000320","negative regulation of T-helper 17 cell differentiation",13,2,1.46,0.43924
"GO:0006686","sphingomyelin biosynthetic process",13,2,1.46,0.43924
"GO:1902950","regulation of dendritic spine maintenance",13,2,1.46,0.43924
"GO:0043922","host-mediated suppression of viral transcription",13,2,1.46,0.43924
"GO:0033189","response to vitamin A",13,2,1.46,0.43924
"GO:0010896","regulation of triglyceride catabolic process",13,2,1.46,0.43924
"GO:0044027","negative regulation of gene expression via chromosomal CpG island methylation",13,2,1.46,0.43924
"GO:1904152","regulation of retrograde protein transport, ER to cytosol",13,2,1.46,0.43924
"GO:0033235","positive regulation of protein sumoylation",13,2,1.46,0.43924
"GO:0048388","endosomal lumen acidification",13,2,1.46,0.43924
"GO:0030836","positive regulation of actin filament depolymerization",13,2,1.46,0.43924
"GO:0050872","white fat cell differentiation",13,2,1.46,0.43924
"GO:0030502","negative regulation of bone mineralization",13,2,1.46,0.43924
"GO:1904749","regulation of protein localization to nucleolus",13,2,1.46,0.43924
"GO:1900153","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",13,2,1.46,0.43924
"GO:1903490","positive regulation of mitotic cytokinesis",13,2,1.46,0.43924
"GO:0045048","protein insertion into ER membrane",32,4,3.6,0.43928
"GO:0043409","negative regulation of MAPK cascade",150,15,16.89,0.43928
"GO:0006623","protein targeting to vacuole",41,5,4.62,0.43928
"GO:0002407","dendritic cell chemotaxis",24,3,2.7,0.43931
"GO:0006896","Golgi to vacuole transport",25,3,2.81,0.43934
"GO:0030239","myofibril assembly",65,6,7.32,0.43976
"GO:0044788","host-mediated perturbation of viral process",74,7,8.33,0.43977
"GO:0050714","positive regulation of protein secretion",135,24,15.2,0.44067
"GO:0140467","integrated stress response signaling",53,7,5.97,0.44139
"GO:0031116","positive regulation of microtubule polymerization",30,4,3.38,0.44156
"GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein",30,4,3.38,0.44156
"GO:0001568","blood vessel development",602,60,67.77,0.44166
"GO:0032481","positive regulation of type I interferon production",79,9,8.89,0.44178
"GO:0043524","negative regulation of neuron apoptotic process",122,16,13.73,0.44198
"GO:1901796","regulation of signal transduction by p53 class mediator",110,11,12.38,0.4424
"GO:0046903","secretion",850,131,95.69,0.44285
"GO:0051898","negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",56,7,6.3,0.44529
"GO:0006813","potassium ion transport",218,46,24.54,0.44572
"GO:0051650","establishment of vesicle localization",190,41,21.39,0.44607
"GO:1901888","regulation of cell junction assembly",262,44,29.49,0.44702
"GO:0016482","cytosolic transport",138,28,15.54,0.44742
"GO:0009191","ribonucleoside diphosphate catabolic process",92,20,10.36,0.44795
"GO:0045937","positive regulation of phosphate metabolic process",296,42,33.32,0.44811
"GO:0009308","amine metabolic process",78,17,8.78,0.44822
"GO:0090174","organelle membrane fusion",132,23,14.86,0.44823
"GO:0019364","pyridine nucleotide catabolic process",88,17,9.91,0.44843
"GO:0008219","cell death",1730,201,194.75,0.44847
"GO:0006885","regulation of pH",101,18,11.37,0.44851
"GO:0097553","calcium ion transmembrane import into cytosol",170,24,19.14,0.44884
"GO:0006007","glucose catabolic process",24,7,2.7,0.44895
"GO:0019083","viral transcription",25,7,2.81,0.44897
"GO:0044090","positive regulation of vacuole organization",26,7,2.93,0.44899
"GO:1904376","negative regulation of protein localization to cell periphery",35,8,3.94,0.44899
"GO:0097035","regulation of membrane lipid distribution",65,11,7.32,0.44906
"GO:0050857","positive regulation of antigen receptor-mediated signaling pathway",22,6,2.48,0.44909
"GO:0046485","ether lipid metabolic process",23,6,2.59,0.44912
"GO:0032232","negative regulation of actin filament bundle assembly",32,7,3.6,0.44912
"GO:0060996","dendritic spine development",86,13,9.68,0.44913
"GO:0090313","regulation of protein targeting to membrane",29,6,3.26,0.44924
"GO:0006999","nuclear pore organization",15,4,1.69,0.44932
"GO:0042278","purine nucleoside metabolic process",24,5,2.7,0.44932
"GO:0003176","aortic valve development",43,7,4.84,0.44935
"GO:0099623","regulation of cardiac muscle cell membrane repolarization",26,5,2.93,0.44936
"GO:0071071","regulation of phospholipid biosynthetic process",19,4,2.14,0.4494
"GO:1903727","positive regulation of phospholipid metabolic process",19,4,2.14,0.4494
"GO:0036315","cellular response to sterol",20,4,2.25,0.44942
"GO:1905874","regulation of postsynaptic density organization",21,4,2.36,0.44944
"GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",40,6,4.5,0.44947
"GO:0014048","regulation of glutamate secretion",15,3,1.69,0.4495
"GO:0032925","regulation of activin receptor signaling pathway",24,4,2.7,0.44951
"GO:0008154","actin polymerization or depolymerization",167,20,18.8,0.44952
"GO:0051147","regulation of muscle cell differentiation",123,15,13.85,0.44953
"GO:0097699","vascular endothelial cell response to fluid shear stress",27,4,3.04,0.44957
"GO:0014909","smooth muscle cell migration",64,8,7.2,0.4496
"GO:0030947","regulation of vascular endothelial growth factor receptor signaling pathway",29,4,3.26,0.44961
"GO:0003309","type B pancreatic cell differentiation",21,3,2.36,0.44963
"GO:0014910","regulation of smooth muscle cell migration",58,7,6.53,0.44966
"GO:0060324","face development",24,3,2.7,0.44969
"GO:0006740","NADPH regeneration",24,3,2.7,0.44969
"GO:0071895","odontoblast differentiation",16,2,1.8,0.44971
"GO:0002756","MyD88-independent toll-like receptor signaling pathway",16,2,1.8,0.44971
"GO:1900424","regulation of defense response to bacterium",16,2,1.8,0.44971
"GO:0040001","establishment of mitotic spindle localization",34,4,3.83,0.44971
"GO:1903409","reactive oxygen species biosynthetic process",53,6,5.97,0.44974
"GO:0048021","regulation of melanin biosynthetic process",18,2,2.03,0.44975
"GO:1990822","basic amino acid transmembrane transport",20,2,2.25,0.44979
"GO:0032465","regulation of cytokinesis",89,14,10.02,0.44983
"GO:0009147","pyrimidine nucleoside triphosphate metabolic process",22,2,2.48,0.44983
"GO:1902108","regulation of mitochondrial membrane permeability involved in apoptotic process",32,3,3.6,0.44986
"GO:0042168","heme metabolic process",45,4,5.07,0.44994
"GO:0072595","maintenance of protein localization in organelle",37,3,4.17,0.44996
"GO:0044091","membrane biogenesis",65,6,7.32,0.44999
"GO:0030856","regulation of epithelial cell differentiation",120,12,13.51,0.45003
"GO:0050912","detection of chemical stimulus involved in sensory perception of taste",34,2,3.83,0.45008
"GO:0008406","gonad development",124,12,13.96,0.45011
"GO:0046822","regulation of nucleocytoplasmic transport",98,9,11.03,0.45012
"GO:0046850","regulation of bone remodeling",45,3,5.07,0.45013
"GO:0009299","mRNA transcription",49,3,5.52,0.45021
"GO:0010389","regulation of G2/M transition of mitotic cell cycle",96,8,10.81,0.45027
"GO:0002263","cell activation involved in immune response",269,26,30.28,0.45055
"GO:0061014","positive regulation of mRNA catabolic process",145,12,16.32,0.45055
"GO:0051250","negative regulation of lymphocyte activation",144,10,16.21,0.4509
"GO:0070979","protein K11-linked ubiquitination",39,5,4.39,0.45144
"GO:0072530","purine-containing compound transmembrane transport",39,5,4.39,0.45144
"GO:0002684","positive regulation of immune system process",1029,105,115.84,0.45188
"GO:0045321","leukocyte activation",837,78,94.22,0.4529
"GO:0070374","positive regulation of ERK1 and ERK2 cascade",179,21,20.15,0.45504
"GO:0022402","cell cycle process",1233,112,138.8,0.45508
"GO:0072594","establishment of protein localization to organelle",350,46,39.4,0.45529
"GO:0046777","protein autophosphorylation",109,13,12.27,0.45678
"GO:0046475","glycerophospholipid catabolic process",37,5,4.17,0.45741
"GO:0034389","lipid droplet organization",38,5,4.28,0.45745
"GO:1902074","response to salt",22,3,2.48,0.45752
"GO:0071468","cellular response to acidic pH",22,3,2.48,0.45752
"GO:0016973","poly(A)+ mRNA export from nucleus",22,3,2.48,0.45752
"GO:0042462","eye photoreceptor cell development",22,3,2.48,0.45752
"GO:0022612","gland morphogenesis",22,3,2.48,0.45752
"GO:1904491","protein localization to ciliary transition zone",22,3,2.48,0.45752
"GO:0097700","vascular endothelial cell response to laminar fluid shear stress",22,3,2.48,0.45752
"GO:0032469","endoplasmic reticulum calcium ion homeostasis",22,3,2.48,0.45752
"GO:1900102","negative regulation of endoplasmic reticulum unfolded protein response",22,3,2.48,0.45752
"GO:0019228","neuronal action potential",32,4,3.6,0.45757
"GO:0007608","sensory perception of smell",246,26,27.69,0.45834
"GO:0071709","membrane assembly",60,5,6.75,0.45835
"GO:0071216","cellular response to biotic stimulus",217,17,24.43,0.46043
"GO:0009968","negative regulation of signal transduction",1283,165,144.43,0.46374
"GO:0045165","cell fate commitment",184,22,20.71,0.46389
"GO:0051241","negative regulation of multicellular organismal process",999,117,112.46,0.46434
"GO:0009615","response to virus",380,39,42.78,0.46684
"GO:0003151","outflow tract morphogenesis",62,8,6.98,0.4673
"GO:0080135","regulation of cellular response to stress",506,57,56.96,0.46773
"GO:0045893","positive regulation of DNA-templated transcription",1588,163,178.77,0.47017
"GO:0006468","protein phosphorylation",615,75,69.23,0.47306
"GO:0061564","axon development",405,84,45.59,0.47339
"GO:1900087","positive regulation of G1/S transition of mitotic cell cycle",40,5,4.5,0.47421
"GO:0045597","positive regulation of cell differentiation",728,81,81.95,0.47495
"GO:0006520","amino acid metabolic process",271,40,30.51,0.47587
"GO:0001525","angiogenesis",511,49,57.53,0.4766
"GO:0034764","positive regulation of transmembrane transport",162,24,18.24,0.47699
"GO:0030510","regulation of BMP signaling pathway",94,14,10.58,0.47768
"GO:0099054","presynapse assembly",45,8,5.07,0.47783
"GO:1904385","cellular response to angiotensin",32,6,3.6,0.47798
"GO:0007004","telomere maintenance via telomerase",60,9,6.75,0.47803
"GO:1902176","negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",28,5,3.15,0.47814
"GO:0006672","ceramide metabolic process",101,13,11.37,0.47821
"GO:0035459","vesicle cargo loading",33,5,3.71,0.47831
"GO:0006518","peptide metabolic process",55,7,6.19,0.47845
"GO:0006739","NADP+ metabolic process",38,5,4.28,0.47847
"GO:1903747","regulation of protein localization to mitochondrion",48,6,5.4,0.47851
"GO:0070601","centromeric sister chromatid cohesion",14,2,1.58,0.47856
"GO:0010958","regulation of amino acid import across plasma membrane",14,2,1.58,0.47856
"GO:0003084","positive regulation of systemic arterial blood pressure",14,2,1.58,0.47856
"GO:0010935","regulation of macrophage cytokine production",14,2,1.58,0.47856
"GO:0032754","positive regulation of interleukin-5 production",14,2,1.58,0.47856
"GO:0046007","negative regulation of activated T cell proliferation",14,2,1.58,0.47856
"GO:0035791","platelet-derived growth factor receptor-beta signaling pathway",14,2,1.58,0.47856
"GO:0006000","fructose metabolic process",14,2,1.58,0.47856
"GO:0044857","plasma membrane raft organization",14,2,1.58,0.47856
"GO:0007250","activation of NF-kappaB-inducing kinase activity",14,2,1.58,0.47856
"GO:0015801","aromatic amino acid transport",14,2,1.58,0.47856
"GO:0002089","lens morphogenesis in camera-type eye",14,2,1.58,0.47856
"GO:0046462","monoacylglycerol metabolic process",14,2,1.58,0.47856
"GO:0043278","response to morphine",14,2,1.58,0.47856
"GO:0045064","T-helper 2 cell differentiation",14,2,1.58,0.47856
"GO:0031571","mitotic G1 DNA damage checkpoint signaling",14,2,1.58,0.47856
"GO:0002327","immature B cell differentiation",14,2,1.58,0.47856
"GO:1903975","regulation of glial cell migration",14,2,1.58,0.47856
"GO:0009437","carnitine metabolic process",14,2,1.58,0.47856
"GO:0034333","adherens junction assembly",14,2,1.58,0.47856
"GO:0009164","nucleoside catabolic process",14,2,1.58,0.47856
"GO:1901142","insulin metabolic process",14,2,1.58,0.47856
"GO:0002283","neutrophil activation involved in immune response",14,2,1.58,0.47856
"GO:0030497","fatty acid elongation",14,2,1.58,0.47856
"GO:0097499","protein localization to non-motile cilium",14,2,1.58,0.47856
"GO:1902931","negative regulation of alcohol biosynthetic process",14,2,1.58,0.47856
"GO:0002830","positive regulation of type 2 immune response",14,2,1.58,0.47856
"GO:0045725","positive regulation of glycogen biosynthetic process",14,2,1.58,0.47856
"GO:1900044","regulation of protein K63-linked ubiquitination",14,2,1.58,0.47856
"GO:1904353","regulation of telomere capping",14,2,1.58,0.47856
"GO:0002503","peptide antigen assembly with MHC class II protein complex",14,2,1.58,0.47856
"GO:0010763","positive regulation of fibroblast migration",14,2,1.58,0.47856
"GO:0070207","protein homotrimerization",14,2,1.58,0.47856
"GO:0001782","B cell homeostasis",14,2,1.58,0.47856
"GO:0010642","negative regulation of platelet-derived growth factor receptor signaling pathway",14,2,1.58,0.47856
"GO:0010635","regulation of mitochondrial fusion",14,2,1.58,0.47856
"GO:0044314","protein K27-linked ubiquitination",14,2,1.58,0.47856
"GO:0044342","type B pancreatic cell proliferation",14,2,1.58,0.47856
"GO:0045916","negative regulation of complement activation",14,2,1.58,0.47856
"GO:0099159","regulation of modification of postsynaptic structure",14,2,1.58,0.47856
"GO:0033120","positive regulation of RNA splicing",28,3,3.15,0.47873
"GO:0032872","regulation of stress-activated MAPK cascade",32,3,3.6,0.47886
"GO:0032506","cytokinetic process",52,5,5.85,0.47893
"GO:0045190","isotype switching",37,3,4.17,0.47902
"GO:0006354","DNA-templated transcription elongation",165,15,18.57,0.47973
"GO:0006508","proteolysis",728,78,81.95,0.48388
"GO:0046474","glycerophospholipid biosynthetic process",209,34,23.53,0.48403
"GO:1903828","negative regulation of protein localization",188,31,21.16,0.48427
"GO:0032007","negative regulation of TOR signaling",71,17,7.99,0.48461
"GO:0008360","regulation of cell shape",120,14,13.51,0.48617
"GO:0035249","synaptic transmission, glutamatergic",91,14,10.24,0.48655
"GO:0007416","synapse assembly",264,53,29.72,0.48699
"GO:0097028","dendritic cell differentiation",35,5,3.94,0.48755
"GO:0071539","protein localization to centrosome",35,5,3.94,0.48755
"GO:0035720","intraciliary anterograde transport",23,3,2.59,0.48779
"GO:0009074","aromatic amino acid family catabolic process",23,3,2.59,0.48779
"GO:0043153","entrainment of circadian clock by photoperiod",23,3,2.59,0.48779
"GO:0051131","chaperone-mediated protein complex assembly",23,3,2.59,0.48779
