"GO.ID","Term","Annotated","Significant","Expected","pvalue"
"GO:0009181","purine ribonucleoside diphosphate catabolic process",87,19,9.79,0.01257
"GO:0048857","neural nucleus development",53,11,5.97,0.0126
"GO:0045338","farnesyl diphosphate metabolic process",12,5,1.35,0.01264
"GO:1904350","regulation of protein catabolic process in the vacuole",14,5,1.58,0.01264
"GO:0046530","photoreceptor cell differentiation",43,8,4.84,0.01265
"GO:1903541","regulation of exosomal secretion",17,4,1.91,0.01266
"GO:0018105","peptidyl-serine phosphorylation",65,13,7.32,0.01326
"GO:0006891","intra-Golgi vesicle-mediated transport",35,9,3.94,0.01328
"GO:0051592","response to calcium ion",122,20,13.73,0.01353
"GO:0050772","positive regulation of axonogenesis",60,15,6.75,0.01378
"GO:0019674","NAD+ metabolic process",43,11,4.84,0.01386
"GO:0006470","protein dephosphorylation",85,15,9.57,0.01391
"GO:0035022","positive regulation of Rac protein signal transduction",24,7,2.7,0.01393
"GO:0060828","regulation of canonical Wnt signaling pathway",241,41,27.13,0.0147
"GO:0061621","canonical glycolysis",19,6,2.14,0.01501
"GO:0001921","positive regulation of receptor recycling",14,5,1.58,0.01505
"GO:0050804","modulation of chemical synaptic transmission",468,96,52.68,0.01515
"GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",54,12,6.08,0.01526
"GO:0050850","positive regulation of calcium-mediated signaling",49,12,5.52,0.01528
"GO:0007264","small GTPase-mediated signal transduction",486,72,54.71,0.01679
"GO:0070507","regulation of microtubule cytoskeleton organization",156,26,17.56,0.01731
"GO:0006886","intracellular protein transport",614,88,69.12,0.01776
"GO:0034599","cellular response to oxidative stress",224,30,25.22,0.01809
"GO:0007219","Notch signaling pathway",132,22,14.86,0.01875
"GO:0051932","synaptic transmission, GABAergic",54,18,6.08,0.01906
"GO:0046488","phosphatidylinositol metabolic process",156,28,17.56,0.01912
"GO:0014044","Schwann cell development",27,7,3.04,0.01919
"GO:0042551","neuron maturation",34,7,3.83,0.01922
"GO:0031290","retinal ganglion cell axon guidance",10,4,1.13,0.01923
"GO:1905380","regulation of snRNA transcription by RNA polymerase II",10,4,1.13,0.01923
"GO:0046469","platelet activating factor metabolic process",10,4,1.13,0.01923
"GO:0003140","determination of left/right asymmetry in lateral mesoderm",10,4,1.13,0.01923
"GO:0038129","ERBB3 signaling pathway",10,4,1.13,0.01923
"GO:2000095","regulation of Wnt signaling pathway, planar cell polarity pathway",10,4,1.13,0.01923
"GO:0045472","response to ether",20,5,2.25,0.01924
"GO:0045778","positive regulation of ossification",50,8,5.63,0.01925
"GO:0016331","morphogenesis of embryonic epithelium",61,6,6.87,0.01936
"GO:0032930","positive regulation of superoxide anion generation",20,6,2.25,0.01944
"GO:0034314","Arp2/3 complex-mediated actin nucleation",44,9,4.95,0.02049
"GO:0099502","calcium-dependent activation of synaptic vesicle fusion",15,5,1.69,0.02052
"GO:0051412","response to corticosterone",15,5,1.69,0.02052
"GO:0035542","regulation of SNARE complex assembly",15,5,1.69,0.02052
"GO:0032801","receptor catabolic process",29,6,3.26,0.02054
"GO:0006897","endocytosis",679,98,76.44,0.02068
"GO:0034329","cell junction assembly",486,85,54.71,0.02101
"GO:0044282","small molecule catabolic process",357,57,40.19,0.02145
"GO:0047496","vesicle transport along microtubule",45,11,5.07,0.02158
"GO:0042147","retrograde transport, endosome to Golgi",102,22,11.48,0.02164
"GO:0032886","regulation of microtubule-based process",262,40,29.49,0.02165
"GO:0010996","response to auditory stimulus",26,7,2.93,0.02169
"GO:1903779","regulation of cardiac conduction",26,7,2.93,0.02169
"GO:0046856","phosphatidylinositol dephosphorylation",26,7,2.93,0.02169
"GO:0010592","positive regulation of lamellipodium assembly",26,7,2.93,0.02169
"GO:0007417","central nervous system development",756,116,85.11,0.02173
"GO:1905521","regulation of macrophage migration",40,8,4.5,0.02188
"GO:0050951","sensory perception of temperature stimulus",23,4,2.59,0.02194
"GO:0042552","myelination",109,22,12.27,0.02222
"GO:0010605","negative regulation of macromolecule metabolic process",2603,253,293.03,0.02353
"GO:0048167","regulation of synaptic plasticity",176,33,19.81,0.02368
"GO:1903078","positive regulation of protein localization to plasma membrane",64,13,7.2,0.02436
"GO:2000786","positive regulation of autophagosome assembly",21,6,2.36,0.02469
"GO:0061024","membrane organization",761,117,85.67,0.02483
"GO:0007399","nervous system development",2178,346,245.19,0.02519
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels",118,24,13.28,0.02644
"GO:0043406","positive regulation of MAP kinase activity",27,7,3.04,0.02652
"GO:0090128","regulation of synapse maturation",27,7,3.04,0.02652
"GO:0010508","positive regulation of autophagy",156,30,17.56,0.0267
"GO:0030705","cytoskeleton-dependent intracellular transport",213,41,23.98,0.02688
"GO:0006865","amino acid transport",142,31,15.99,0.02698
"GO:0048520","positive regulation of behavior",28,8,3.15,0.02705
"GO:0019896","axonal transport of mitochondrion",16,5,1.8,0.02714
