Gene	symbol	log2FC	t	pvalue	padj	significant
ENSG00000198804	MT-CO1	-7.105427357601002e-15	-6.6332495807108	3.950077653520164e-08	0.0013845022175588174	Not significant
ENSG00000172322	CLEC12A	0.1206498698211117	6.035153725764947	1.552422677690792e-07	0.002720620742653113	Up
ENSG00000104687	GSR	-0.19390688786225452	-5.431513500174154	9.381004986827354e-07	0.010960140826276625	Down
ENSG00000104490	NCALD	-0.3556747338200208	-5.315502603032013	1.3966243726800245e-06	0.011115524414000499	Down
ENSG00000255136	TPBGL-AS1	-0.143146832960512	-5.31921264872188	1.5856668208274606e-06	0.011115524414000499	Down
ENSG00000081721	DUSP12	-0.08785586810185064	-5.175335979258211	2.3934010969929627e-06	0.012204842118365113	Not significant
ENSG00000152782	PANK1	-0.13901356128335918	-5.150903943264006	2.6266257512346234e-06	0.012204842118365113	Down
ENSG00000263597	MIR3936	-0.12396995168778169	-5.090272034457067	3.3355416062290708e-06	0.012204842118365113	Down
ENSG00000163444	TMEM183A	-0.2615078602345564	-5.068671240748341	3.5632750244265928e-06	0.012204842118365113	Down
ENSG00000091262	ABCC6	0.10885579268798717	5.039749239232102	3.9872790869711754e-06	0.012204842118365113	Up
ENSG00000100106	TRIOBP	0.23652785290573775	5.021272330032857	4.263292394394332e-06	0.012204842118365113	Up
ENSG00000214456	PLIN5	0.20736447266156754	5.070943888631205	4.506035090914259e-06	0.012204842118365113	Up
ENSG00000112146	FBXO9	-0.3507926192010129	-4.9953527413964185	4.693177420897988e-06	0.012204842118365113	Down
ENSG00000085415	SEH1L	-0.1570733324493614	-4.985551377298476	4.874972600773512e-06	0.012204842118365113	Down
ENSG00000175426	PCSK1	-0.49050798061440837	-4.945288959398474	5.907287320089524e-06	0.012271357994274742	Down
ENSG00000260176		-0.19628678397010224	-4.938682000848947	6.4756960362145205e-06	0.012271357994274742	Down
ENSG00000168081	PNOC	-0.22773753971259625	-4.901167649861831	6.708304008380858e-06	0.012271357994274742	Down
ENSG00000106993	CDC37L1	-0.12743680686314218	-4.897753533371938	6.9331419947038186e-06	0.012271357994274742	Down
ENSG00000115598	IL36R	-0.15043552546047567	-4.890011789557317	7.045464724319334e-06	0.012271357994274742	Down
ENSG00000111674	ENO2	-0.37364610815874144	-4.901424953885511	7.438948621122387e-06	0.012271357994274742	Down
ENSG00000159248	GJD2	-0.17257100895453448	-4.839546855382083	8.455374344479156e-06	0.012271357994274742	Down
ENSG00000084444	FAM234B	-0.3018413722530857	-4.832481889890892	8.591562122196185e-06	0.012271357994274742	Down
